"character_chosen","neow_bonus","neow_cost","ascension_level","winAct3","winHeart","abandon","N"
"Defect","Random Common Relic","None",16,177,27,102,1742
"Defect","Random Common Relic","None",17,134,21,146,2101
"Defect","Random Common Relic","None",18,140,13,135,2207
"Defect","Random Common Relic","None",19,114,13,197,2637
"Defect","Random Common Relic","None",20,403,139,696,7972
"Defect","Remove Card","None",1,546,111,40,2496
"Defect","Remove Card","None",2,196,38,25,1459
"Defect","Remove Card","None",3,158,27,8,1086
"Defect","Remove Card","None",4,102,16,25,1011
"Defect","Remove Card","None",5,120,14,13,794
"Defect","Remove Card","None",6,94,14,6,638
"Defect","Remove Card","None",7,94,15,12,596
"Defect","Remove Card","None",8,63,6,6,498
"Defect","Remove Card","None",9,64,7,12,451
"Defect","Remove Card","None",10,62,9,17,472
"Defect","Remove Card","None",11,49,4,13,428
"Defect","Remove Card","None",12,37,2,11,341
"Defect","Remove Card","None",13,39,4,7,331
"Defect","Remove Card","None",14,24,4,9,351
"Defect","Remove Card","None",15,38,9,13,382
"Defect","Remove Card","None",16,26,3,8,300
"Defect","Remove Card","None",17,18,1,8,321
"Defect","Remove Card","None",18,14,1,5,306
"Defect","Remove Card","None",19,11,0,13,346
"Defect","Remove Card","None",20,44,13,36,1062
"Defect","Remove Two","No Gold",1,200,54,3,934
"Defect","Remove Two","No Gold",2,87,20,4,556
"Defect","Remove Two","No Gold",3,70,10,2,423
"Defect","Remove Two","No Gold",4,68,9,2,445
"Defect","Remove Two","No Gold",5,54,8,3,403
"Defect","Remove Two","No Gold",6,35,4,1,322
"Defect","Remove Two","No Gold",7,47,8,0,266
"Defect","Remove Two","No Gold",8,27,2,2,228
"Defect","Remove Two","No Gold",9,53,9,2,261
"Defect","Remove Two","No Gold",10,23,6,6,247
"Defect","Remove Two","No Gold",11,25,5,1,229
"Defect","Remove Two","No Gold",12,33,2,1,194
"Defect","Remove Two","No Gold",13,21,3,4,150
"Defect","Remove Two","No Gold",14,20,4,1,208
"Defect","Remove Two","No Gold",15,25,2,3,206
"Defect","Remove Two","No Gold",16,22,3,1,184
"Defect","Remove Two","No Gold",17,8,0,7,192
"Defect","Remove Two","No Gold",18,14,0,3,205
"Defect","Remove Two","No Gold",19,10,0,8,223
"Defect","Remove Two","No Gold",20,39,20,18,762
"Defect","Remove Two","Percent Damage",1,129,33,4,648
"Defect","Remove Two","Percent Damage",2,65,19,5,408
"Defect","Remove Two","Percent Damage",3,51,6,0,313
"Defect","Remove Two","Percent Damage",4,35,9,2,294
"Defect","Remove Two","Percent Damage",5,38,8,3,277
"Defect","Remove Two","Percent Damage",6,36,5,0,216
"Defect","Remove Two","Percent Damage",7,26,7,1,187
"Defect","Remove Two","Percent Damage",8,19,3,3,167
"Defect","Remove Two","Percent Damage",9,26,7,4,197
"Defect","Remove Two","Percent Damage",10,14,3,1,151
"Defect","Remove Two","Percent Damage",11,18,1,1,159
"Defect","Remove Two","Percent Damage",12,9,1,0,143
"Defect","Remove Two","Percent Damage",13,7,1,3,115
"Defect","Remove Two","Percent Damage",14,13,1,1,125
"Defect","Remove Two","Percent Damage",15,9,1,2,122
"Defect","Remove Two","Percent Damage",16,14,3,4,128
"Defect","Remove Two","Percent Damage",17,8,2,2,111
"Defect","Remove Two","Percent Damage",18,8,0,1,116
"Defect","Remove Two","Percent Damage",19,12,0,5,150
"Defect","Remove Two","Percent Damage",20,30,15,26,527
"Defect","Remove Two","Ten Percent Hp Loss",1,140,35,9,685
"Defect","Remove Two","Ten Percent Hp Loss",2,46,11,0,407
"Defect","Remove Two","Ten Percent Hp Loss",3,48,7,3,348
"Defect","Remove Two","Ten Percent Hp Loss",4,38,6,3,313
"Defect","Remove Two","Ten Percent Hp Loss",5,47,10,4,307
"Defect","Remove Two","Ten Percent Hp Loss",6,27,6,2,222
"Defect","Remove Two","Ten Percent Hp Loss",7,31,4,1,240
"Defect","Remove Two","Ten Percent Hp Loss",8,21,1,1,178
"Defect","Remove Two","Ten Percent Hp Loss",9,30,4,2,179
"Defect","Remove Two","Ten Percent Hp Loss",10,18,5,2,193
"Defect","Remove Two","Ten Percent Hp Loss",11,22,4,0,149
"Defect","Remove Two","Ten Percent Hp Loss",12,14,2,2,160
"Defect","Remove Two","Ten Percent Hp Loss",13,22,5,3,132
"Defect","Remove Two","Ten Percent Hp Loss",14,19,2,2,135
"Defect","Remove Two","Ten Percent Hp Loss",15,20,2,1,165
"Defect","Remove Two","Ten Percent Hp Loss",16,14,3,2,111
"Defect","Remove Two","Ten Percent Hp Loss",17,12,4,5,164
"Defect","Remove Two","Ten Percent Hp Loss",18,10,2,3,140
"Defect","Remove Two","Ten Percent Hp Loss",19,7,0,5,153
"Defect","Remove Two","Ten Percent Hp Loss",20,40,16,18,579
"Defect","Ten Percent Hp Bonus","None",1,2725,629,329,15575
"Defect","Ten Percent Hp Bonus","None",2,1179,240,153,8901
"Defect","Ten Percent Hp Bonus","None",3,815,159,113,7090
"Defect","Ten Percent Hp Bonus","None",4,629,108,117,5927
"Defect","Ten Percent Hp Bonus","None",5,485,79,74,4207
"Defect","Ten Percent Hp Bonus","None",6,423,69,85,3484
"Defect","Ten Percent Hp Bonus","None",7,363,68,59,3111
"Defect","Ten Percent Hp Bonus","None",8,317,46,71,2575
"Defect","Ten Percent Hp Bonus","None",9,325,54,58,2217
"Defect","Ten Percent Hp Bonus","None",10,309,56,70,2455
"Defect","Ten Percent Hp Bonus","None",11,197,32,52,2280
"Defect","Ten Percent Hp Bonus","None",12,193,32,36,1967
"Defect","Ten Percent Hp Bonus","None",13,172,26,56,1731
"Defect","Ten Percent Hp Bonus","None",14,192,28,37,1878
"Defect","Ten Percent Hp Bonus","None",15,195,29,47,1954
"Defect","Ten Percent Hp Bonus","None",16,144,18,53,1527
"Defect","Ten Percent Hp Bonus","None",17,117,12,55,1875
"Defect","Ten Percent Hp Bonus","None",18,129,10,63,2282
"Defect","Ten Percent Hp Bonus","None",19,94,14,76,2491
"Defect","Ten Percent Hp Bonus","None",20,303,88,486,7626
"Defect","Three Cards","None",1,791,137,439,4873
"Defect","Three Cards","None",2,379,57,232,3043
"Defect","Three Cards","None",3,233,27,208,2155
"Defect","Three Cards","None",4,173,20,175,1954
"Defect","Three Cards","None",5,153,18,148,1541
"Defect","Three Cards","None",6,128,14,87,1132
"Defect","Three Cards","None",7,110,14,67,1018
"Defect","Three Cards","None",8,75,6,76,902
"Defect","Three Cards","None",9,95,13,88,846
"Defect","Three Cards","None",10,84,10,76,822
"Defect","Three Cards","None",11,54,10,83,816
"Defect","Three Cards","None",12,46,3,58,613
"Defect","Three Cards","None",13,61,8,62,592
"Defect","Three Cards","None",14,48,2,62,635
"Defect","Three Cards","None",15,57,8,53,651
"Defect","Three Cards","None",16,45,5,62,597
"Defect","Three Cards","None",17,44,9,77,647
"Defect","Three Cards","None",18,33,5,82,729
"Defect","Three Cards","None",19,21,0,78,772
"Defect","Three Cards","None",20,67,21,244,2230
"Defect","Three Enemy Kill","None",1,6442,1476,2960,42172
"Defect","Three Enemy Kill","None",2,2966,549,1492,25436
"Defect","Three Enemy Kill","None",3,2596,478,1395,23190
"Defect","Three Enemy Kill","None",4,2079,358,1355,20923
"Defect","Three Enemy Kill","None",5,1740,283,1155,16352
"Defect","Three Enemy Kill","None",6,1570,264,1105,14390
"Defect","Three Enemy Kill","None",7,1388,247,980,12563
"Defect","Three Enemy Kill","None",8,1353,221,930,11700
"Defect","Three Enemy Kill","None",9,1287,235,1274,12423
"Defect","Three Enemy Kill","None",10,1221,210,1063,12654
"Defect","Three Enemy Kill","None",11,1034,155,1149,11727
"Defect","Three Enemy Kill","None",12,931,146,997,10458
"Defect","Three Enemy Kill","None",13,817,106,995,9493
"Defect","Three Enemy Kill","None",14,864,130,1096,10762
"Defect","Three Enemy Kill","None",15,940,149,1120,11510
"Defect","Three Enemy Kill","None",16,799,96,907,9943
"Defect","Three Enemy Kill","None",17,736,85,1392,12771
"Defect","Three Enemy Kill","None",18,695,70,1493,15251
"Defect","Three Enemy Kill","None",19,620,60,2058,17877
"Defect","Three Enemy Kill","None",20,2289,845,7406,62276
"Defect","Three Rare Cards","Curse",1,179,48,105,1201
"Defect","Three Rare Cards","Curse",2,75,21,49,734
"Defect","Three Rare Cards","Curse",3,65,9,54,649
"Defect","Three Rare Cards","Curse",4,48,10,35,592
"Defect","Three Rare Cards","Curse",5,55,8,44,529
"Defect","Three Rare Cards","Curse",6,51,6,25,453
"Defect","Three Rare Cards","Curse",7,31,5,20,370
"Defect","Three Rare Cards","Curse",8,40,3,12,344
"Defect","Three Rare Cards","Curse",9,36,4,28,363
"Defect","Three Rare Cards","Curse",10,21,1,30,327
"Defect","Three Rare Cards","Curse",11,26,3,23,318
"Defect","Three Rare Cards","Curse",12,20,3,25,302
"Defect","Three Rare Cards","Curse",13,31,3,18,280
"Defect","Three Rare Cards","Curse",14,21,1,18,286
"Defect","Three Rare Cards","Curse",15,26,5,21,298
"Defect","Three Rare Cards","Curse",16,18,2,21,244
"Defect","Three Rare Cards","Curse",17,24,2,29,298
"Defect","Three Rare Cards","Curse",18,14,0,28,322
"Defect","Three Rare Cards","Curse",19,13,1,43,361
"Defect","Three Rare Cards","Curse",20,36,14,131,1139
"Defect","Three Rare Cards","No Gold",1,296,79,93,1615
"Defect","Three Rare Cards","No Gold",2,127,18,38,905
"Defect","Three Rare Cards","No Gold",3,85,11,59,812
"Defect","Three Rare Cards","No Gold",4,83,14,48,795
"Defect","Three Rare Cards","No Gold",5,79,9,32,680
"Defect","Three Rare Cards","No Gold",6,64,12,23,526
"Defect","Three Rare Cards","No Gold",7,66,7,22,493
"Defect","Three Rare Cards","No Gold",8,53,9,17,466
"Defect","Three Rare Cards","No Gold",9,65,13,18,489
"Defect","Three Rare Cards","No Gold",10,43,6,25,453
"Defect","Three Rare Cards","No Gold",11,45,4,23,421
"Defect","Three Rare Cards","No Gold",12,45,6,21,418
"Defect","Three Rare Cards","No Gold",13,37,3,26,346
"Defect","Three Rare Cards","No Gold",14,31,4,20,395
"Defect","Three Rare Cards","No Gold",15,40,7,31,436
"Defect","Three Rare Cards","No Gold",16,35,5,30,357
"Defect","Three Rare Cards","No Gold",17,28,5,27,457
"Defect","Three Rare Cards","No Gold",18,21,2,32,441
"Defect","Three Rare Cards","No Gold",19,30,2,30,509
"Defect","Three Rare Cards","No Gold",20,87,36,149,1849
"Defect","Three Rare Cards","Percent Damage",1,210,62,94,1331
"Defect","Three Rare Cards","Percent Damage",2,94,29,41,754
"Defect","Three Rare Cards","Percent Damage",3,71,17,30,610
"Defect","Three Rare Cards","Percent Damage",4,47,7,35,641
"Defect","Three Rare Cards","Percent Damage",5,48,7,28,542
"Defect","Three Rare Cards","Percent Damage",6,48,6,23,453
"Defect","Three Rare Cards","Percent Damage",7,65,7,22,413
"Defect","Three Rare Cards","Percent Damage",8,52,5,23,404
"Defect","Three Rare Cards","Percent Damage",9,38,8,26,345
"Defect","Three Rare Cards","Percent Damage",10,40,6,23,383
"Defect","Three Rare Cards","Percent Damage",11,28,7,22,336
"Defect","Three Rare Cards","Percent Damage",12,34,7,18,330
"Defect","Three Rare Cards","Percent Damage",13,24,6,29,318
"Defect","Three Rare Cards","Percent Damage",14,27,4,22,319
"Defect","Three Rare Cards","Percent Damage",15,18,4,22,333
"Defect","Three Rare Cards","Percent Damage",16,23,2,30,273
"Defect","Three Rare Cards","Percent Damage",17,14,1,28,301
"Defect","Three Rare Cards","Percent Damage",18,18,1,25,334
"Defect","Three Rare Cards","Percent Damage",19,15,2,36,396
"Defect","Three Rare Cards","Percent Damage",20,56,21,136,1330
"Defect","Three Rare Cards","Ten Percent Hp Loss",1,204,54,81,1247
"Defect","Three Rare Cards","Ten Percent Hp Loss",2,93,20,39,789
"Defect","Three Rare Cards","Ten Percent Hp Loss",3,73,11,49,665
"Defect","Three Rare Cards","Ten Percent Hp Loss",4,68,9,32,676
"Defect","Three Rare Cards","Ten Percent Hp Loss",5,52,10,27,530
"Defect","Three Rare Cards","Ten Percent Hp Loss",6,55,13,14,448
"Defect","Three Rare Cards","Ten Percent Hp Loss",7,51,8,14,382
"Defect","Three Rare Cards","Ten Percent Hp Loss",8,41,6,13,389
"Defect","Three Rare Cards","Ten Percent Hp Loss",9,47,9,23,358
"Defect","Three Rare Cards","Ten Percent Hp Loss",10,40,12,22,402
"Defect","Three Rare Cards","Ten Percent Hp Loss",11,39,7,25,380
"Defect","Three Rare Cards","Ten Percent Hp Loss",12,26,5,34,351
"Defect","Three Rare Cards","Ten Percent Hp Loss",13,26,1,22,267
"Defect","Three Rare Cards","Ten Percent Hp Loss",14,26,4,20,289
"Defect","Three Rare Cards","Ten Percent Hp Loss",15,27,4,25,339
"Defect","Three Rare Cards","Ten Percent Hp Loss",16,23,4,20,290
"Defect","Three Rare Cards","Ten Percent Hp Loss",17,19,3,17,334
"Defect","Three Rare Cards","Ten Percent Hp Loss",18,11,0,22,358
"Defect","Three Rare Cards","Ten Percent Hp Loss",19,20,3,34,400
